CM-05,Access Restrictions for Change,1,,,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,,,,,1,,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,17, 7.4 ,287,,0,,,,,,
CM-05(01),Access Restrictions for Change | Automated Access Enforcement and Audit Records,1,,,,,1,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,6, 2.6 ,288,,2,,,,,,
CM-05(02),[WITHDRAWN]: Baseline Configuration | Authorized Software,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,289,,3,,,,,,
CM-05(03),[WITHDRAWN]: Access Restrictions for Change | Review System Changes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,290,,3,,,,,,
CM-05(04),Access Restrictions for Change | Dual Authorization,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,291,,3,,,,,,
CM-05(05),Access Restrictions for Change | Privilege Limitation for Production and Operation,1,,,,,,,1,1,,,,,1,1,1,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,7, 3.0 ,292,,2,,,,,,
CM-05(06),Access Restrictions for Change | Limit Library Privileges,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,4, 1.7 ,293,,3,,,,,,
CM-05(07),[WITHDRAWN]: Access Restrictions for Change | Signed Components,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,294,,3,,,,,,
CM-06,Configuration Settings,1,,,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,,,,,,1,,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,18, 7.8 ,295,,0,,,,,,
CM-06(01),"Configuration Settings | Automated Management, Application, and Verification",1,,,,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,5, 2.2 ,296,,2,,,,,,
CM-06(02),Configuration Settings | Respond to Unauthorized Changes,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,297,,2,,,,,,
CM-06(03),[WITHDRAWN]: Access Restrictions for Change | Automatic Implementation of Security Safeguards,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,298,,3,,,,,,
CM-06(04),[WITHDRAWN]: Configuration Settings | Unauthorized Change Detection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,299,,3,,,,,,
CM-07,Least Functionality,1,,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,,,,,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,19, 8.3 ,300,,0,,,,,,
CM-07(01),Least Functionality | Periodic Review,1,,,,1,1,,1,1,,,1,,1,1,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,11, 4.8 ,301,,2,,,,,,
CM-07(02),Least Functionality | Prevent Program Execution,1,,,,1,1,,1,1,,,,,1,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,9, 3.9 ,302,,2,,,,,,
CM-07(03),Least Functionality | Registration Compliance,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,303,,3,,,,,,
CM-07(04),Least Functionality | Unauthorized Software — Deny-by-exception,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,5, 2.2 ,304,,3,,,,,,
CM-07(05),Least Functionality | Authorized Software — Allow-by-exception,1,,,,1,1,,1,1,,,1,,1,1,1,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,12, 5.2 ,305,,2,,,,,,
CM-07(06),Least Functionality | Confined Environments with Limited Privileges,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,306,,3,,,,,,
CM-07(07),Least Functionality | Code Execution in Protected Environments,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,307,,3,,,,,,
CM-07(08),Least Functionality | Binary or Machine Executable Code,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,308,,3,,,,,,
CM-07(09),Least Functionality | Prohibiting The Use of Unauthorized Hardware,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,309,,3,,,,,,
CM-08,System Component Inventory,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,20, 8.7 ,310,,0,,,,,,
CM-08(01),System Component Inventory | Updates During Installation and Removal,1,,,,1,1,,1,1,,,1,,1,1,1,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,11, 4.8 ,311,,2,,,,,,
CM-08(02),System Component Inventory | Automated Maintenance,1,,,,,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,312,,2,,,,,,
CM-08(03),System Component Inventory | Automated Unauthorized Component Detection,1,,,,1,1,,1,1,,,,,1,1,1,1,,,,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,10, 4.3 ,313,,2,,,,,,
CM-08(04),System Component Inventory | Accountability Information,1,,,,,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,314,,2,,,,,,
CM-08(05),[WITHDRAWN]: Configuration Settings | Conformance Demonstration,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,315,,3,,,,,,
CM-08(06),System Component Inventory | Assessed Configurations and Approved Deviations,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,316,,3,,,,,,
CM-08(07),System Component Inventory | Centralized Repository,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,317,,3,,,,,,
CM-08(08),System Component Inventory | Automated Location Tracking,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,318,,3,,,,,,
CM-08(09),System Component Inventory | Assignment of Components to Systems,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,319,,3,,,,,,
CM-09,Configuration Management Plan,1,,,,1,1,,1,1,,,,,1,1,1,1,1,1,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,13, 5.7 ,320,,2,,,,,,
CM-09(01),Configuration Management Plan | Assignment of Responsibility,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,321,,3,,,,,,
CM-10,Software Usage Restrictions,1,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,16, 7.0 ,322,,0,,,,,,
CM-10(01),Software Usage Restrictions | Open-source Software,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,323,,3,,,,,,
CM-11,User-installed Software,1,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,17, 7.4 ,324,,0,,,,,,
CM-11(01),[WITHDRAWN]: System Component Inventory | No Duplicate Accounting of Components,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,325,,3,,,,,,
CM-11(02),User-installed Software | Software Installation with Privileged Status,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,326,,3,,,,,,
CM-11(03),User-installed Software | Automated Enforcement and Monitoring,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,327,,3,,,,,,
CM-12,Information Location,1,,,,1,1,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,8, 3.5 ,328,,2,,,,,,
CM-12(01),Information Location | Automated Tools to Support Information Location,1,,,,1,1,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,8, 3.5 ,329,,2,,,,,,
CM-13,Data Action Mapping,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,330,,3,,,,,,
CM-14,Signed Components,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,5, 2.2 ,331,,3,,,,,,
CP-01,Policy and Procedures,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,,,,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,17, 7.4 ,332,,0,,,,,,
CP-02,Contingency Plan,1,,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,17, 7.4 ,333,,0,,,,,,
CP-02(01),Contingency Plan | Coordinate with Related Plans,1,,,,1,1,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,9, 3.9 ,334,,2,,,,,,
CP-02(02),Contingency Plan | Capacity Planning,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,335,,2,,,,,,
CP-02(03),Contingency Plan | Resume Mission and Business Functions,1,,,,1,1,,1,1,,,1,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,9, 3.9 ,336,,2,,,,,,
CP-02(04),[WITHDRAWN]: System Recovery and Reconstitution | Contingency Plan Testing,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,337,,3,,,,,,
CP-02(05),Contingency Plan | Continue Mission and Business Functions,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,5, 2.2 ,338,,2,,,,,,
CP-02(06),Contingency Plan | Alternate Processing and Storage Sites,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,339,,3,,,,,,
CP-02(07),Contingency Plan | Coordinate with External Service Providers,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,340,,3,,,,,,
CP-02(08),Contingency Plan | Identify Critical Assets,1,,,,1,1,,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,10, 4.3 ,341,,2,,,,,,
CP-03,Contingency Training,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,,,,,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,18, 7.8 ,342,,0,,,,,,
CP-03(01),Contingency Training | Simulated Events,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,343,,2,,,,,,
CP-03(02),Contingency Training | Mechanisms Used in Training Environments,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,344,,3,,,,,,
CP-04,Contingency Plan Testing,1,,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,17, 7.4 ,345,,0,,,,,,
CP-04(01),Contingency Plan Testing | Coordinate with Related Plans,1,,,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,6, 2.6 ,346,,2,,,,,,
CP-04(02),Contingency Plan Testing | Alternate Processing Site,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,3, 1.3 ,347,,2,,,,,,
CP-04(03),Contingency Plan Testing | Automated Testing,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,348,,3,,,,,,
CP-04(04),Contingency Plan Testing | Full Recovery and Reconstitution,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,349,,3,,,,,,
CP-04(05),Contingency Plan Testing | Self-challenge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,350,,3,,,,,,
CP-05,[WITHDRAWN]: System Recovery and Reconstitution | Compensating Security Controls,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,351,,3,,,,,,
CP-06,Alternate Storage Site,1,,,,1,1,,1,1,,,,1,1,,1,1,1,1,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,13, 5.7 ,352,,2,,,,,,
CP-06(01),Alternate Storage Site | Separation from Primary Site,1,,,,1,1,,1,1,,,,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,8, 3.5 ,353,,2,,,,,,
CP-06(02),Alternate Storage Site | Recovery Time and Recovery Point Objectives,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,354,,2,,,,,,
CP-06(03),Alternate Storage Site | Accessibility,1,,,,1,1,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,7, 3.0 ,355,,2,,,,,,
CP-07,Alternate Processing Site,1,,,,1,1,,1,1,,,,1,1,,1,1,1,1,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,13, 5.7 ,356,,2,,,,,,
CP-07(01),Alternate Processing Site | Separation from Primary Site,1,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,5, 2.2 ,357,,2,,,,,,
CP-07(02),Alternate Processing Site | Accessibility,1,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,5, 2.2 ,358,,2,,,,,,
CP-07(03),Alternate Processing Site | Priority of Service,1,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,5, 2.2 ,359,,2,,,,,,
CP-07(04),Alternate Processing Site | Preparation for Use,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,3, 1.3 ,360,,2,,,,,,
CP-07(05),[WITHDRAWN]: System Recovery and Reconstitution | Failover Capability,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,361,,3,,,,,,
CP-07(06),Alternate Processing Site | Inability to Return to Primary Site,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,362,,3,,,,,,
CP-08,Telecommunications Services,1,,,,1,1,,1,1,,,,1,,,1,1,1,1,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,12, 5.2 ,363,,2,,,,,,
CP-08(01),Telecommunications Services | Priority of Service Provisions,1,,,,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,6, 2.6 ,364,,2,,,,,,
CP-08(02),Telecommunications Services | Single Points of Failure,1,,,,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,6, 2.6 ,365,,2,,,,,,
CP-08(03),Telecommunications Services | Separation of Primary and Alternate Providers,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,5, 2.2 ,366,,2,,,,,,
CP-08(04),Telecommunications Services | Provider Contingency Plan,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,3, 1.3 ,367,,2,,,,,,
CP-08(05),Telecommunications Services | Alternate Telecommunication Service Testing,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,368,,3,,,,,,
CP-09,System Backup,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,21, 9.1 ,369,,0,,,,,,
CP-09(01),System Backup | Testing for Reliability and Integrity,1,,,,1,1,,1,1,,,,1,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,9, 3.9 ,370,,2,,,,,,
CP-09(02),System Backup | Test Restoration Using Sampling,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,371,,2,,,,,,
CP-09(03),System Backup | Separate Storage for Critical Information,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,372,,2,,,,,,
CP-09(04),[WITHDRAWN]: Contingency Plan | Resume All Mission and Business Functions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,373,,3,,,,,,
CP-09(05),System Backup | Transfer to Alternate Storage Site,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,3, 1.3 ,374,,2,,,,,,
CP-09(06),System Backup | Redundant Secondary System,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,375,,3,,,,,,
CP-09(07),System Backup | Dual Authorization for Deletion or Destruction,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,376,,3,,,,,,
CP-09(08),System Backup | Cryptographic Protection,1,,,,1,1,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,9, 3.9 ,377,,2,,,,,,
CP-10,System Recovery and Reconstitution,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,19, 8.3 ,378,,0,,,,,,
CP-10(01),[WITHDRAWN]: Contingency Plan Update,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,379,,3,,,,,,
CP-10(02),System Recovery and Reconstitution | Transaction Recovery,1,,,,1,1,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,8, 3.5 ,380,,2,,,,,,
CP-10(03),[WITHDRAWN]: Alternate Processing Site | Equivalent Information Security Safeguards,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,381,,3,,,,,,
CP-10(04),System Recovery and Reconstitution | Restore Within Time Period,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,4, 1.7 ,382,,2,,,,,,
CP-10(05),[WITHDRAWN]: System Backup | Protection from Unauthorized Modification,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,383,,3,,,,,,
CP-10(06),System Recovery and Reconstitution | Component Protection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,384,,3,,,,,,
CP-11,Alternate Communications Protocols,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,6, 2.6 ,385,,3,,,,,,
CP-12,Safe Mode,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3, 1.3 ,386,,3,,,,,,
CP-13,Alternative Security Mechanisms,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,6, 2.6 ,387,,3,,,,,,
IA-01,Policy and Procedures,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,,,,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,17, 7.4 ,388,,0,,,,,,
IA-02,Identification and Authentication (organizational Users),1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,,,,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,19, 8.3 ,389,,0,,,,,,
IA-02(01),Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,1,,,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,14, 6.1 ,390,,0,,,,,,
IA-02(02),Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,1,,,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,14, 6.1 ,391,,0,,,,,,
IA-02(03),[WITHDRAWN]: Identification and Authentication (organizational Users) | Remote Access — Separate Device,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,392,,3,,,,,,
IA-02(04),[WITHDRAWN]: Identification and Authentication (organizational Users) | Local Access to Privileged Accounts,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,1, 0.4 ,393,,3,,,,,,
IA-02(05),Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication,1,,,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,5, 2.2 ,394,,2,,,,,,
IA-02(06),Identification and Authentication (organizational Users) | Access to Accounts —separate Device,1,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,5, 2.2 ,395,,2,,,,,,
IA-02(07),[WITHDRAWN]: Identification and Authentication (organizational Users) | Local Access to Non-privileged Accounts,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,396,,3,,,,,,
IA-02(08),Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant,1,,,1,1,1,1,1,1,1,,1,,1,1,1,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,13, 5.7 ,397,,0,,,,,,
